city,system:index,building_count,std_dev_area,total_area,geometry,population_density,temperature_anomaly,greenness
Sao-Paulo,7,47628,349.4309719656814,5798680.920028736,"POLYGON ((-46.900000000000006 -23.549999999999994, -46.85 -23.549999999999994, -46.85 -23.499999999999993, -46.900000000000006 -23.499999999999993, -46.900000000000006 -23.549999999999994))",8095.887528438958,-1.6812992,0.27082193
Sao-Paulo,8,28252,309.33531177383827,4961107.061219439,"POLYGON ((-46.900000000000006 -23.499999999999993, -46.85 -23.499999999999993, -46.85 -23.449999999999992, -46.900000000000006 -23.449999999999992, -46.900000000000006 -23.499999999999993))",3165.576231255823,-1.8053334,0.33097586
Sao-Paulo,9,22492,337.02625707007894,3139549.15026104,"POLYGON ((-46.900000000000006 -23.449999999999992, -46.85 -23.449999999999992, -46.85 -23.399999999999984, -46.900000000000006 -23.399999999999988, -46.900000000000006 -23.449999999999992))",1758.249035699027,-1.8335451,0.3718768
Sao-Paulo,10,6275,232.24912356733853,734376.06465504,"POLYGON ((-46.849999999999994 -23.899999999999995, -46.800000000000004 -23.9, -46.800000000000004 -23.849999999999998, -46.85 -23.849999999999994, -46.849999999999994 -23.899999999999995))",564.9662974766322,-1.067574,0.33577496
Sao-Paulo,11,13808,164.5784878861499,1602407.6895891158,"POLYGON ((-46.85 -23.849999999999994, -46.800000000000004 -23.849999999999998, -46.800000000000004 -23.799999999999994, -46.849999999999994 -23.799999999999994, -46.85 -23.849999999999994))",817.8969162921517,-1.0906577,0.33497423
Sao-Paulo,12,9619,174.74084480551744,960878.2327099,"POLYGON ((-46.849999999999994 -23.799999999999994, -46.800000000000004 -23.799999999999994, -46.800000000000004 -23.749999999999996, -46.85 -23.749999999999993, -46.849999999999994 -23.799999999999994))",1153.5744426882998,-1.144314,0.34408972
Sao-Paulo,13,12182,133.71787152909928,1363659.1175215866,"POLYGON ((-46.85 -23.749999999999993, -46.800000000000004 -23.749999999999996, -46.800000000000004 -23.699999999999996, -46.85 -23.699999999999996, -46.85 -23.749999999999993))",1840.851054600307,-1.1669105,0.32324785
Sao-Paulo,14,31067,476.1210445958859,3088558.6614144873,"POLYGON ((-46.85 -23.699999999999996, -46.800000000000004 -23.699999999999996, -46.800000000000004 -23.649999999999995, -46.85 -23.649999999999995, -46.85 -23.699999999999996))",6952.092401154187,-1.2850863,0.30569708
Sao-Paulo,15,32062,508.9606180454256,4182940.31632069,"POLYGON ((-46.85 -23.649999999999995, -46.800000000000004 -23.649999999999995, -46.80000000000001 -23.599999999999994, -46.85 -23.599999999999994, -46.85 -23.649999999999995))",6217.2585281060665,-1.3442082,0.29349715
Sao-Paulo,16,58746,293.53708641755964,6582670.591209626,"POLYGON ((-46.85 -23.599999999999994, -46.80000000000001 -23.599999999999994, -46.800000000000004 -23.549999999999994, -46.85 -23.549999999999994, -46.85 -23.599999999999994))",11120.782077088648,-1.4033303,0.2812972
